№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
94	Выходя из дома, я забыла взять 	ключи	85	1	22	ключи 28, зонт 17, телефон 7, зонтик 6, сумку 4, деньги 3, паспорт 2, кошелек 2, шапку 2, голову 2, ключ 1, пропуск 1, пуанты 1, шарф 1, помаду 1, носки 1, документы 1, бумажник 1, портфель 1, проездной 1, шубу 1, ноутбук 1	32.941176	3.350462	78.0	2	1713.247059	1578.011765
95	Директор ещё не вернулся из	отпуска	86	0	12	отпуска 41, командировки 33, школы 3, администрации 1, деревни 1, бани 1, поездки 1, санатория 1, декрета 1, комадировки 1, дома 1, боя 1	47.674419	1.881154	44.8	3	1321.953488	1152.534884
96	В этом кафе студент всегда заказывал	пиццу	86	0	25	пиццу 21, кофе 17, чай 9, суп 4, суши 3, борщ 3, салат 3, торт 3, яичницу 2, обед 2, латте 2, мороженое 2, одно и то же 2, пунш 2, сырники 1, еду 1, пончики 1, поесть 1, пиво 1, капучино 1, бутерброд 1, пирожное 1, бизнес-ланч 1, мохито 1, брокколи 1	24.418605	3.760283	3.3	2	1895.523256	1785.558140
97	Графиня хранила драгоценности в 	шкатулке	84	2	18	шкатулке 40, шкафу 10, сейфе 8, сундуке 6, ящике 3, комоде 3, чемодане 2, ларце 2, комнате 1, серванте 1, кошельке 1, сундучке 1, ночном горшке 1, ушах 1, подушке 1, потайном шкафу 1, кувшине 1, вазе 1	47.619048	2.831413	5.3	3	1580.440476	1354.678571
98	На праздник мама подарила сыну	велосипед	85	1	46	велосипед 10, машину 9, машинку 6, телефон 5, компьютер 4, подарок 4, игрушку 3, автомобиль 2, книгу 2, гитару 2, конструктор 2, самокат 2, медвежонка 1, вертолет 1, конфету 1, шкаф 1, дерево 1, деньги 1, игрушки 1, пакет 1, робота 1, вертолетик 1, колье 1, паровоз 1, ящик 1, отвертку 1, кружку 1, шоколадку 1, айфон 1, шар 1, каякерское весло 1, трактор 1, коньки 1, торт 1, брюки 1, трансформера 1, компот 1, кофту 1, автомат 1, пальто 1, мяч 1, футбольный мяч 1, обувь 1, платок 1, самолет 1, самолетик 1	11.764706	5.002063	23.1	4	2098.858824	1982.811765
99	Художник изобразил на картине	пейзаж	83	3	46	пейзаж 10, море 8, девушку 5, себя 4, закат 4, солнце 3, дерево 3, лес 3, гору 2, пятно 2, натюрморт 2, апельсин 2, женщину 2, лошадь 1, лед 1, полоску 1, лук 1, природу 1, озеро 1, Моне 1, балерину 1, скамью 1, баню 1, рисунок 1, стадо 1, осень 1, лето 1, женщин 1, квадрат 1, маслом 1, кота 1, львов 1, нечто 1, Машу 1, дом 1, портрет 1, нож 1, ливень 1, корабль 1, крота 1, цветы 1, жирафа 1, пса 1, вазу 1, енота 1, поэта 1	12.048193	5.060659	24.3	2	2248.566265	2113.722892
100	Мы вернулись в кафе и забрали забытый	телефон	85	1	23	телефон 20, кошелек 14, зонт 9, портфель 6, чемодан 6, рюкзак 5, зонтик 4, шарф 3, пакет 2, пенал 2, чай 2, пиджак 1, предмет 1, счет 1, планшет 1, компьютер 1, стул 1, девайс 1, паспорт 1, билет 1, мешок 1, ноутбук 1, кофе 1	23.529412	3.707568	167.8	3	2116.388235	1959.211765
101	Наместник императора прославился своей	жестокостью	84	2	41	жестокостью 21, храбростью 6, хитростью 4, гордостью 3, щедростью 3, победой 3, работой 3, преданностью 2, добротой 2, находчивостью 2, алчностью 2, эрудицией 2, красотой 2, жадностью 2, мудростью 1, пунктуальностью 1, грамотностью 1, привлекательностью 1, женой 1, арфой 1, внешностью 1, вспыльчивостью 1, решительностью 1, доблестью 1, искренностью 1, убедительностью 1, изысканностью 1, силой 1, неуживчивостью 1, предосудительностью 1, тупостью 1, сдержанностью 1, черствостью 1, твердолобостью 1, безграмотностью 1, политикой 1, заботой 1, честностью 1, добродушностью 1, гостеприимностью 1, учтивостью 1	25.000000	4.621270	15.8	4	2359.976190	2152.928571
102	Туристы восхищались живописной	картиной	84	2	20	картиной 27, природой 26, местностью 9, площадью 2, рекой 2, панорамой 2, улицей 2, долиной 2, амбразурой 1, церковью 1, галереей 1, скалой 1, равниной 1, фауной 1, архитектурой 1, доминой 1, окрестностью 1, травой 1, статуей 1, обстановкой 1	32.142857	2.950380	183.9	3	2341.869048	2158.047619
103	Девушка надела бордовые	туфли	86	0	26	туфли 13, штаны 11, колготки 8, сапоги 7, босоножки 6, лосины 5, брюки 5, леггинсы 4, чулки 4, перчатки 3, джинсы 3, кроссовки 2, ботинки 2, гольфы 1, лодочки 1, стринги 1, трусы 1, кольца 1, ботфорты 1, лабутены 1, варежки 1, гетры 1, шлепанцы 1, балетки 1, трусишки 1, галоши 1	15.116279	4.123360	23.2	2	2270.744186	2142.197674
104	Дошкольник взял фломастер и нарисовал оранжевый	круг	85	1	26	круг 44, апельсин 9, цветок 5, шар 3, вертолет 2, дом 2, стол 1, велосипед 1, верблюд 1, треугольник 1, шарик 1, шарф 1, поезд 1, букет 1, портрет 1, песок 1, номер 1, автобус 1, сарай 1, мир 1, предмет 1, цветочек 1, взрыв 1, квадрат 1, пейзаж 1, самокат 1	51.764706	3.008110	157.4	1	2081.576471	1911.329412
105	Сестра волновалась перед важным	экзаменом	86	0	16	экзаменом 41, событием 12, собеседованием 11, свиданием 3, совещанием 3, выступлением 3, мероприятием 2, собранием 2, зачетом 2, интервью 1, занятием 1, днем 1, шагом 1, дедлайном 1, экспериментом 1, делом 1	47.674419	2.693735	45.4	4	1500.279070	1419.034884
106	Из шкафа мама достала старую	одежду	86	0	35	шубу 10, одежду 10, книгу 7, шаль 6, посуду 5, кофту 4, куртку 4, куклу 3, вазу 3, вещь 2, шкатулку 2, игрушку 2, скатерть 2, шапку 2, книжку 2, юбку 2, фотографию 2, кровать 1, картину 1, клеенку 1, пижаму 1, занавеску 1, простыню 1, копилку 1, балалайку 1, футболку 1, блузку 1, коробку 1, рухлядь 1, надежду 1, столешницу 1, бабушку 1, шинель 1, шляпу 1, пластинку 1	11.627907	4.627204	93.7	3	2133.779070	2014.697674
107	Вернувшись в офис после отпуска, секретарша заметила новый	стол	86	0	31	стол 23, компьютер 8, цветок 5, принтер 5, шкаф 5, стул 3, телевизор 3, диван 3, предмет 2, ноутбук 2, сервиз 2, телефон 2, ковер 2, холодильник 2, календарь 2, интерьер 2, рабочий стол 1, прибор 1, торшер 1, плакат 1, планшет 1, поршень 1, кондиционер 1, портфель 1, распорядок дня 1, кулер 1, стенд 1, аппарат 1, офис 1, замок 1, комод 1	26.744186	4.180503	402.5	1	2479.023256	2323.069767
108	На кухне дочка доедает вкусный	пирог	85	1	15	пирог 34, торт 17, обед 7, суп 5, десерт 4, борщ 4, ужин 3, салат 3, тортик 2, омлет 1, маффин 1, пудинг 1, чизкейк 1, чай 1, носок 1	40.000000	2.865491	16.3	2	1642.235294	1492.294118
109	Прохожие еле разминулись на узкой	тропинке	86	0	7	тропинке 46, улице 13, дороге 10, улочке 7, дорожке 5, тропе 4, трубке 1	53.488372	2.069637	15.5	3	1620.232558	1450.581395
110	В киоске продавались сувениры из светло-серой	глины	84	2	18	глины 23, бумаги 17, ткани 13, кожи 5, керамики 4, материи 3, пряжи 3, стали 3, шерсти 3, пластмассы 2, пластины 1, глазури 1, массы 1, коллекции 1, газеты 1, фланели 1, замши 1, пластилины 1	27.380952	3.270131	18.4	2	3185.761905	3026.678571
111	Ассистент обратился за помощью к своей	начальнице	85	1	32	начальнице 14, помощнице 10, руководительнице 6, подруге 6, секретарше 5, бабушке 4, маме 4, коллеге 3, знакомой 3, преподавательнице 3, соседке 2, жене 2, студентке 2, сестре 2, матери 2, сотруднице 1, лаборантке 1, научнице 1, подручной 1, тете 1, ассистентше 1, ассистентке 1, научной руководительнице 1, подассистентке 1, учительнице 1, наставнице 1, напарнице 1, медсестре 1, одногруппнице 1, адъютантке 1, любовнице 1, практикантке 1	16.470588	4.416260	4.3	4	2534.058824	2343.717647
112	Лектор увлечённо рассказывал о недавнем	происшествии	86	0	18	происшествии 26, событии 19, случае 11, открытии 4, эксперименте 3, инциденте 3, экзамене 3, путешествии 3, мероприятии 2, опыте 2, приключении 2, походе 2, прошлом 1, теракте 1, диспуте 1, свидании 1, споре 1, посещении 1	30.232558	3.217016	23.6	5	2146.209302	1986.023256
113	Андрей устал нести тяжёлый	груз	83	3	17	груз 19, рюкзак 18, пакет 14, чемодан 13, портфель 6, мешок 2, крест 1, багаж 1, ящик 1, груз бытия 1, компьютер 1, бред 1, ананас 1, ранец 1, сумку 1, поединок 1, шкаф 1	22.891566	3.065549	45.7	1	1779.084337	1656.807229
114	Грабители украли из квартиры ценный	предмет	83	3	33	предмет 16, телевизор 7, экспонат 6, груз 6, артефакт 5, подарок 4, антиквариат 4, товар 4, сервиз 3, материал 3, сувенир 2, шкаф 2, ключ 1, документ 1, металл 1, амулет 1, компьютер 1, стул 1, альбом 1, браслет 1, сейф 1, перстень 1, башмак 1, кошелек 1, объект 1, магнитофон 1, кирпич 1, сервис 1, сервант 1, абажаур 1, сундук 1, чемодан 1, диван 1	19.277108	4.401661	154.4	2	2735.783133	2619.240964
115	Моя крестница живёт прямо напротив местного	магазина	84	2	46	магазина 14, музея 5, театра 5, общежития 3, супермаркета 3, дома 3, бара 3, кладбища 3, собора 2, рынка 2, банка 2, зоопарка 2, клуба 2, храма 2, борделя 2, приюта 1, двора 1, ресторана 1, ларька 1, детсада 1, мвд 1, парткома 1, драмтеатра 1, роддома 1, домоуправления 1, домоправления 1, отеля 1, райцентра 1, училища 1, жэка 1, катка 1, универсама 1, дворца 1, адвоката 1, госпиталя 1, почтальона 1, отдела полиции 1, самоуправления 1, универмага 1, медпункта 1, почтамта 1, ДК 1, удара 1, кинотеатра 1, участка 1, цирка 1	16.666667	5.031643	147.2	4	2695.059524	2604.523810
116	Ирина зашла на вещевой рынок и купила недорогую	сумку	85	1	27	сумку 14, кофту 8, одежду 7, вещь 6, блузку 6, юбку 6, шубу 4, футболку 4, обувь 4, посуду 3, куртку 3, ткань 2, шапку 2, вазу 2, шаль 2, кофточку 1, брошь 1, книгу 1, картошку 1, шинель 1, шляпку 1, сумочку 1, вещицу 1, мебель 1, утварь 1, дубленку 1, шмотку 1	16.470588	4.232996	55.5	2	2386.564706	2232.552941
117	Парижанин с гостьей гуляли по окрестным	улицам	85	1	29	улицам 21, улочкам 9, местам 8, достопримечательностям 6, паркам 5, полям 4, местностям 3, дворам 3, деревням 3, дорогам 2, барам 2, городам 2, улицам Лондона 1, окраинам 1, областям 1, районам 1, набережным 1, садам 1, домам 1, селам 1, предместьям 1, задворкам 1, дворикам 1, площадям 1, лесам 1, лугам 1, кварталам 1, аррондисманам 1, кабакам 1	24.705882	4.054661	337.8	3	2518.729412	2366.258824
118	Анна обожала посещать субботние	вечера	86	0	20	вечера 21, концерты 12, вечеринки 10, мероприятия 8, дискотеки 7, встречи 4, танцы 4, лекции 3, выставки 3, тренинги 2, утренники 2, заседания 2, пары 1, спектакли 1, поезда 1, тренировки 1, митинги 1, службы 1, гитарники 1, представления 1	24.418605	3.593256	335.4	3	2303.162791	2153.697674
119	Всю жизнь дедушка собирал антикварные	вещи	86	0	30	вещи 24, предметы 9, монеты 7, часы 7, украшения 5, марки 4, книги 3, ложки 3, статуэтки 2, вещицы 2, штуки 1, машинки 1, стаканы 1, маски 1, столовые приборы 1, чаши 1, столики 1, приборы столовые 1, зажигалки 1, расчески 1, вазы 1, кружки 1, наперстки 1, ручки 1, машины 1, шкатулки 1, лампы 1, бабушки 1, самогонные аппараты 1, серьги 1	27.906977	3.972883	242.5	2	2616.151163	2511.965116
